company_name,company_slug,source_name,source_url,vacancies_count,note
1+1 media,1-plus-1-media,Work.ua,https://www.work.ua/jobs/by-company/131904,30,Work.ua VIP list
1001 дрібниця,1001-dribnytsia,Work.ua,https://www.work.ua/jobs/by-company/663955,31,Work.ua VIP list
A-Play Recruiting,a-play-recruiting,Work.ua,https://www.work.ua/jobs/by-company/1870278,27,Work.ua VIP list
Adidas Ukraine,adidas-ukraine,Work.ua,https://www.work.ua/jobs/by-company/35769,29,Work.ua VIP list
Ajax Manufacturing,ajax-manufacturing,Work.ua,https://www.work.ua/jobs/by-company/1390509,24,Work.ua VIP list
Ajax Systems,ajax-systems,Work.ua,https://www.work.ua/jobs/by-company/717168,32,Work.ua VIP list
Alviva Group,alviva-group,Work.ua,https://www.work.ua/jobs/by-company/2768590,120,Work.ua VIP list
Anabel Arto,anabel-arto,Work.ua,https://www.work.ua/jobs/by-company/260892,23,Work.ua VIP list
AntiSchool Online,antischool-online,Work.ua,https://www.work.ua/jobs/by-company/783422,27,Work.ua VIP list
Atlas Recruiting,atlas-recruiting,Work.ua,https://www.work.ua/jobs/by-company/1975291,29,Work.ua VIP list
Autostrada,autostrada,Work.ua,https://www.work.ua/jobs/by-company/1120903,37,Work.ua VIP list
Avangardco,avangardco,Work.ua,https://www.work.ua/jobs/by-company/241664,27,Work.ua VIP list
BeerMarket,beermarket,Work.ua,https://www.work.ua/jobs/by-company/998284,13,Work.ua VIP list
BERTA group,berta-group,Work.ua,https://www.work.ua/jobs/by-company/101721,37,Work.ua VIP list
BlueBird Tech,bluebird-tech,Work.ua,https://www.work.ua/jobs/by-company/2659245,52,Work.ua VIP list
bodo,bodo,Work.ua,https://www.work.ua/jobs/by-company/84903,8,Work.ua VIP list
Boss Auto Ukraine,boss-auto-ukraine,Work.ua,https://www.work.ua/jobs/by-company/2474246,11,Work.ua VIP list
box маркет,box-market,Work.ua,https://www.work.ua/jobs/by-company/1715852,139,Work.ua VIP list
Brain,brain,Work.ua,https://www.work.ua/jobs/by-company/214232,10,Work.ua VIP list
Business Tuning Center,business-tuning-center,Work.ua,https://www.work.ua/jobs/by-company/3611268,67,Work.ua VIP list
COMFY,comfy,Work.ua,https://www.work.ua/jobs/by-company/42923,252,Work.ua VIP list
CSD LAB,csd-lab,Work.ua,https://www.work.ua/jobs/by-company/191449,21,Work.ua VIP list
Delivery-Auto,delivery-auto,Work.ua,https://www.work.ua/jobs/by-company/125499,48,Work.ua VIP list
Deloitte,deloitte,Work.ua,https://www.work.ua/jobs/by-company/1685297,4,Work.ua VIP list
Delta Medical,delta-medical,Work.ua,https://www.work.ua/jobs/by-company/53690,28,Work.ua VIP list
DL SOLUTION,dl-solution,Work.ua,https://www.work.ua/jobs/by-company/253499,47,Work.ua VIP list
Dnipro-M,dnipro-m,Work.ua,https://www.work.ua/jobs/by-company/1511918,180,Work.ua VIP list
Englishdom,englishdom,Work.ua,https://www.work.ua/jobs/by-company/91856,12,Work.ua VIP list
ERC,erc,Work.ua,https://www.work.ua/jobs/by-company/1092666,25,Work.ua VIP list
Estro,estro,Work.ua,https://www.work.ua/jobs/by-company/372965,28,Work.ua VIP list
Euro 5,euro-5,Work.ua,https://www.work.ua/jobs/by-company/2865906,20,Work.ua VIP list
EVA,eva,Work.ua,https://www.work.ua/jobs/by-company/105402,388,Work.ua VIP list
EVO,evo,Work.ua,https://www.work.ua/jobs/by-company/40787,7,Work.ua VIP list
EvoPlay,evoplay,Work.ua,https://www.work.ua/jobs/by-company/345480,115,Work.ua VIP list
Farmak,farmak,Work.ua,https://www.work.ua/jobs/by-company/48358,58,Work.ua VIP list
Ferm,ferm,Work.ua,https://www.work.ua/jobs/by-company/1973618,12,Work.ua VIP list
